topic,context,sentence,labels
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: Far flowers got less bees","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: Far flowers got less bees","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: They were close to the hive","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: They were close to the hive","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We had to go back and forth between the flowers to pollinate them","Ah, so you had to visit the flowers a lot to pollinate them! That's important for us to know."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Some of the flowers didn't grow","Ah, some of the flowers didn't grow? Maybe you should try BeeVR again and try to figure out what the flowers need in order to grow their fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Some of the flowers didn't get pollinated","Ah, some of the flowers didn't grow? Maybe you should try BeeVR again and try to figure out what the flowers need in order to grow their fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers weren't healthy","Ah, some of the flowers didn't grow? Maybe you should try BeeVR again and try to figure out what the flowers need in order to grow their fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Why didn't the flowers do anything","Ah, some of the flowers didn't grow? Maybe you should try BeeVR again and try to figure out what the flowers need in order to grow their fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We didn't get much nectar","Ah, that's a shame. What do you think made it harder for you to get enough nectar? Is there something we could change to make it better?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We got barely any nectar","Ah, that's a shame. What do you think made it harder for you to get enough nectar? Is there something we could change to make it better?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We didn't get enough food","Ah, that's a shame. What do you think made it harder for you to get enough nectar? Is there something we could change to make it better?"
GEMSTEP_Observing,In the parking lot,"Type: GEMSTEP_Observing, context: In the parking lot, response: We're hungry still","Ah, that's a shame. Is there something about the parking lot that made it harder for you to get enough nectar? Is there something you could change to make it better?"
GEMSTEP_Observing,In the garden,"Type: GEMSTEP_Observing, context: In the garden, response: We're hungry still","Ah, that's a shame. What do you think made it harder for you to get enough nectar? Is there something we could change to make it better?"
GEMSTEP_Observing,In the parking lot,"Type: GEMSTEP_Observing, context: In the parking lot, response: We're hungry still","Ah, that's a shame. Is there something about the parking lot that made it harder for you to get enough nectar? Is there something you could change to make it better?"
GEMSTEP_Observing,In the garden,"Type: GEMSTEP_Observing, context: In the garden, response: Our hive is empty","Ah, that's a shame. What do you think made it harder for you to get enough nectar? Is there something we could change to make it better?"
GEMSTEP_Observing,In the parking lot,"Type: GEMSTEP_Observing, context: In the parking lot, response: Our hive is empty","Ah, that's a shame. Is there something about the parking lot that made it harder for you to get enough nectar? Is there something you could change to make it better?"
GEMSTEP_Observing,In the garden,"Type: GEMSTEP_Observing, context: In the garden, response: we pollinated less than last time","Ah, that's a shame. What do you think made it harder for you to pollinate? Is there something we could change to make it better?"
GEMSTEP_Observing,In the parking lot,"Type: GEMSTEP_Observing, context: In the parking lot, response: we pollinated less than last time","Ah, that's a shame. Is there something about the parking lot that made it harder for you to get enough nectar? Is there something you could change to make it better?"
GEMSTEP_Observing,In the garden,"Type: GEMSTEP_Observing, context: In the garden, response: we pollinated less than in the garden","Ah, that's a shame. What do you think made it harder for you to pollinate? Is there something we could change to make it better?"
GEMSTEP_Observing,In the parking lot,"Type: GEMSTEP_Observing, context: In the parking lot, response: we pollinated less than in the garden","Ah, that's a shame. Is there something about the parking lot that made it harder for you to get enough nectar? Is there something you could change to make it better?"
GEMSTEP_Observing,In the garden,"Type: GEMSTEP_Observing, context: In the garden, response: we couldn't pollinate as much in the parking lot","Ah, that's a shame. What do you think made it harder for you to pollinate? Is there something we could change to make it better?"
GEMSTEP_Observing,In the parking lot,"Type: GEMSTEP_Observing, context: In the parking lot, response: we couldn't pollinate as much in the parking lot","Ah, that's a shame. Is there something about the parking lot that made it harder for you to get enough nectar? Is there something you could change to make it better?"
GEMSTEP_Observing,In the garden,"Type: GEMSTEP_Observing, context: In the garden, response: the parking lot was harder","Ah, that's a shame. What do you think made it harder? Is there something we could change to make it better?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers all grew tasty fruit","Amazing, they all grew fruit! Let's make sure we write down what was important for the flowers to grow and produce healthy fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The fruit is healthy","Amazing, they all grew fruit! Let's make sure we write down what was important for the flowers to grow and produce healthy fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: All the fruits are big and tasty","Amazing, they all grew fruit! Let's make sure we write down what was important for the flowers to grow and produce healthy fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Yeah they all grew fruit","Amazing, they all grew fruit! Let's make sure we write down what was important for the flowers to grow and produce healthy fruit."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We keep running into each other",Are you all fighting for the same flowers? I wonder if you'd still run into each other if you had more flowers to visit.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we pollinated more than last time",Awesome work! Was anything different about this time that made it easier?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the flowers grew fruit",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the flowers grew zucchini",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the flowers grew squash",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the flowers grew strawberries",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we grew strawberries",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we grew strawberries and squash",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the flowers grew more than last time",Awesome work! What did you do in order to help the plants grow?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: All the flowers got pollinated",Awesome! Sounds like you did a good job visiting all the flowers as bees. Did they grow healthy fruit?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: What do the bees do with pollen?","Bees bring the pollen and nectar that they gather back to the hive so that it can be turned into food for the bees. Pollen is very high in protein, so they feed it to baby bees to help them develop healthy and strong."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Why are bees carrying pollen?","Bees collect pollen in little ""baskets"" on their legs in order to bring it back to their hive. Pollen is an important source of protein for bees!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: What are those yellow circles?",Bees collect pollen on their legs when they visit different flowers - so the circle shows you what kind of pollen your bee is gathering!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: What are those white circles?",Bees collect pollen on their legs when they visit different flowers - so the circle shows you what kind of pollen your bee is gathering!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Why did the circle on the bees change color?",Bees collect pollen on their legs when they visit different flowers - so the circle shows you what kind of pollen your bee is gathering!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We all died really fast","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I died","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Our bees were all grey","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Our bees died","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We ran out of energy","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We died","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: why did we get energy in the hive?","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: why did we have to keep going back to the hive?","Bees need energy to survive! You might want to keep an eye on how much energy you have in your energy bar. When it's low, that means that your bee needs to return to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We needed more nectar","Bees need lots of healthy flowers in order to get enough nectar, which they make into honey for them to eat! I wonder what we could do to make it easier for the bees to find food?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we couldn't find much nectar","Bees need lots of healthy flowers in order to get enough nectar, which they make into honey for them to eat! I wonder what we could do to make it easier for the bees to find food?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: there weren't enough flowers","Bees need lots of healthy flowers in order to get enough nectar, which they make into honey for them to eat! I wonder what we could do to make it easier for the bees to find food?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I couldn't find enough food","Bees need lots of healthy flowers in order to get enough nectar, which they make into honey for them to eat! I wonder what we could do to make it easier for the bees to find food?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The bees need more energy","Bees need lots of healthy flowers in order to get enough nectar, which they make into honey for them to eat! I wonder what we could do to make it easier for the bees to find food?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We need to keep the bees from dying","Bees need lots of healthy flowers in order to get enough nectar, which they make into honey for them to eat! I wonder what we could do to make it easier for the bees to find food?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: How do bees get food","Bees visit flowers in order to collect their nectar, which they use to make food. There needs to be lots of healthy flowers in order for bees to get enough nectar to turn into honey."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: How can we get the bees more food","Bees visit flowers in order to collect their nectar, which they use to make food. There needs to be lots of healthy flowers in order for bees to get enough nectar to turn into honey."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The yellow flowers got more pollination",Can you think about why they got pollinated the most? Did you visit them more times? Where were the flowers compared to other things in the model?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers on the right corner got polinnated most",Can you think about why they got pollinated the most? Did you visit them more times? Where were the flowers compared to other things in the model?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers on the left were polinnated the most",Can you think about why they got pollinated the most? Did you visit them more times? Where were the flowers compared to other things in the model?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers on the right were polinnated the most",Can you think about why they got pollinated the most? Did you visit them more times? Where were the flowers compared to other things in the model?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers in the middle got polinated most",Can you think about why they got pollinated the most? Did you visit them more times? Where were the flowers compared to other things in the model?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: One flower didn't grow",Did anybody visit that flower? Maybe it didn't get what it needed to grow healthy.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we all went to different flowers",Did you notice which flowers got pollinated?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we all picked the same flowers",Did you notice which flowers got pollinated?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: What are the different flowers?","Different flowers produce different kinds of fruits and vegetables. In this BeeVR model, the white flowers are strawberry flowers, and the yellow flowers are zucchini flowers."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Is the white or the yellow flower better?","Different types of bees have different flower preferences. There isn't one ""best"" flower, but if a flower has lots of nectar and pollen, that is a plus!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: different types of flowers matter",Do you have any evidence for why you think different types of flowers matter? Maybe you can come up with a plan to test that idea in BeeVR.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: There was only one white flower and it didn't get pollinated",Do you have any guesses about why having just one of that type of flower meant that it didn't get pollinated? Did anybody visit it?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We got a lot of nectar",Great! Sounds like you were able to visit lots of flowers and bring lots of food back to the hive. How did the amount and types of flowers help with that?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We got a lot of food",Great! Sounds like you were able to visit lots of flowers and bring lots of food back to the hive. How did the amount and types of flowers help with that?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Our hive is full",Great! Sounds like you were able to visit lots of flowers and bring lots of food back to the hive. How did the amount and types of flowers help with that?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We got so much nectar",Great! Sounds like you were able to visit lots of flowers and bring lots of food back to the hive. How did the amount and types of flowers help with that?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We filled the hive with nectar",Great! Sounds like you were able to visit lots of flowers and bring lots of food back to the hive. How did the amount and types of flowers help with that?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: there were fewer flowers in the parking lot",How did fewer flowers affect the bees? Was it harder or easier to get nectar and to pollinate?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers are different distances",How do you think the distance between flowers impacted the bees?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: visiting a flower a lot helps","Huh, that's an interesting idea. Did the flower get pollinated every time you visited it? We can see that a flower gets pollinated when the bar next to it goes up."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: visiting the same flower works","Huh, that's an interesting idea. Did the flower get pollinated every time you visited it? We can see that a flower gets pollinated when the bar next to it goes up."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The garden has more flowers for the bees","I agree, the garden gives the bees access to more types of flowers than a few potted plants in a parking lot. We should make sure to tell the Mayor his decision will impact how much food the bees can find."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We need to plant more flowers",I bet planting more flowers would give the bees more food! That way there would be lots of nectar for the bees to make honey.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The bees need a bigger garden","I think you're right! If the bees have more flowers and bigger gardens, they will have more nectar to bring back to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The garden will give the bees more food","I think you're right! If the bees have more flowers and bigger gardens, they will have more nectar to bring back to the hive."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Most of the flowers grew fruit, some are a little weird",I wonder what caused some of the fruits to grow strangely. Maybe the bees had something to do with it?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: We did really good",I'm glad you think you did well! What did you notice that made you say that?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we did bad",I'm sorry it didn't go how you thought it would. What did you notice happen that made you say that? Can you think of a way to revise your plan for next time?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: we failed",I'm sorry it didn't go how you thought it would. What did you notice happen that made you say that? Can you think of a way to revise your plan for next time?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: nothing happened",I'm sorry it didn't go how you thought it would. What did you notice happen that made you say that? Can you think of a way to revise your plan for next time?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: our plan didn't work",I'm sorry it didn't go how you thought it would. What did you notice happen that made you say that? Can you think of a way to revise your plan for next time?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I'm not sure","If you're not sure, let's try BeeVR again! Keep an eye on the bees and flowers, and see if you can figure out what they need."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I'm confused","If you're not sure, let's try BeeVR again! Keep an eye on the bees and flowers, and see if you can figure out what they need."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: idk","If you're not sure, let's try BeeVR again! Keep an eye on the bees and flowers, and see if you can figure out what they need."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: i dont know","If you're not sure, let's try BeeVR again! Keep an eye on the bees and flowers, and see if you can figure out what they need."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: i didnt notice anything","If you're not sure, let's try BeeVR again! Keep an eye on the bees and flowers, and see if you can figure out what they need."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The color of the flower matters","In BeeVR, the color of the flower represents different species of flowers, like a flower from a zuccini plant vs. one from a strawberry plant. Why do you think that flower color matters? What does it matter for?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: What happens if the hive gets full?","In nature, if the hive gets full of food, some of the bees might split off and build a new hive. For bees in human-made hives, beekeepers can just take the extra honey out to leave room for new nectar to be collected."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I think distance is important but idk",Let's investigate what the role of distance is! Can you come up with a way to test it using BeeVR?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I think the flower color is important but i dont know why",Let's investigate what the role of flower color is! Can you come up with a way to test it using BeeVR?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Did we get enough nectar?","Let's look at the bar on the hive! How much nectar does it show? A beehive with lots of bees will need a good amount of honey stored to keep everyone healthy. This is a commercial hive, so maybe the bee keeper also removed some honey?"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: How do plants get pollinated",Many flowers need to be visited by bees in order to be pollinated - maybe you can figure out how bees pollinate by trying BeeVR again? Pay attention to which flowers you visit and which ones get pollinated!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Why does the garden need bees",Many flowers need to be visited by bees in order to be pollinated - maybe you can figure out how bees pollinate by trying BeeVR again? Pay attention to which flowers you visit and which ones get pollinated!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Why are bees important",Many flowers need to be visited by bees in order to be pollinated - maybe you can figure out how bees pollinate by trying BeeVR again? Pay attention to which flowers you visit and which ones get pollinated!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flowers didn't get pollinated",Many flowers need to be visited by bees in order to be pollinated - you might want to keep an eye on which flowers you are visiting while you're a bee!
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The fruits look small",Not every flower produced a healthy fruit - I wonder why? Was something different about those flowers?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The fruits didn't grow",Not every flower produced a healthy fruit - I wonder why? Was something different about those flowers?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The fruits are bad",Not every flower produced a healthy fruit - I wonder why? Was something different about those flowers?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The fruits didn't grow right",Not every flower produced a healthy fruit - I wonder why? Was something different about those flowers?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: The flower didn't grow a fruit",Not every flower produced a healthy fruit - I wonder why? Was something different about those flowers?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: There aren’t enough flowers","Not having enough flowers can be a big problem for bees. If they don't have enough sources of nectar and pollen, it can be hard for bees to gather enough food for the winter."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: What does pollination do","Pollination is important for helping the plants grow fruit. When a flower is pollinated a lot, it can grow a healthy fruit! Try to pay attention to which flowers grow healthy fruit, and what the bees need to do to help!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: what is pollination","Pollination is important for helping the plants grow fruit. When a flower is pollinated a lot, it can grow a healthy fruit! Try to pay attention to which flowers grow healthy fruit, and what the bees need to do to help!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: its showing the pollination","Right! The graph shows how much the flowers are getting pollinated. When it goes up, that means the bees are visiting more flowers and helping them grow."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the graph shows how much pollen we got","Right! The graph shows how much the flowers are getting pollinated. When it goes up, that means the bees are visiting more flowers and helping them grow."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the graph shows how many flowers were pollinated","Right! The graph shows how much the flowers are getting pollinated. When it goes up, that means the bees are visiting more flowers and helping them grow."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: it shows how many flowers we pollinated","Right! The graph shows how much the flowers are getting pollinated. When it goes up, that means the bees are visiting more flowers and helping them grow."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: it shows what flowers are growing","Right! The graph shows how much the flowers are getting pollinated. When it goes up, that means the bees are visiting more flowers and helping them grow."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: it makes only the close flowers get pollinated","So close flowers get visited by bees and get pollinated, while far flowers don't get visited as much. That means the close flowers are going to grow better fruit than the far away ones."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: It makes pollination good for only close flowers","So close flowers get visited by bees and get pollinated, while far flowers don't get visited as much. That means the close flowers are going to grow better fruit than the far away ones."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: They can't get pollinated if there aren't enough of them","So if there aren't enough flowers of a certain color, they won't be able to get pollinated enough. And then they'll have trouble growing fruit!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: they cant get pollinated","So if there aren't enough flowers of a certain color, they won't be able to get pollinated enough. And then they'll have trouble growing fruit!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: they cant grow fruit","So if there aren't enough flowers of a certain color, they won't be able to get pollinated enough. And then they'll have trouble growing fruit!"
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Most of them",So most of the flowers grew healthy fruit? Great! Let's make sure we write down what was important for the flowers to grow and produce healthy fruit.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: the bees like the garden",So the bees are fans of the garden? That's no surprise! What should we tell the Mayor about why the garden is good for the bees?
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: It takes longer to get to the white flowers and pollinate them",So the distance between flowers seems to impact how they get pollinated. That's an important thing to keep in mind for designing our garden spaces.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: It takes longer to get to the flowers and spread pollen",So the distance between flowers seems to impact how they get pollinated. That's an important thing to keep in mind for designing our garden spaces.
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I don't want to fly that far","So the energy of the bees is important! If they get tired, they might not visit those far away flowers."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Bees get tired and go back to the hive","So the energy of the bees is important! If they get tired, they might not visit those far away flowers."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: I ran out of energy","So the energy of the bees is important! If they get tired, they might not visit those far away flowers."
GEMSTEP_Observing, ,"Type: GEMSTEP_Observing, context:  , response: Bees don't have enough energy to visit the flowers","So the energy of the bees is important! If they get tired, they might not visit those far away flowers."
