source,edit,sentence,labels,short answer
E-coli,1,Generate: Are E. coli bacteria harmful?,"Most of the strains, or types, of E. coli bacteria are harmless.",harmless
E-coli,0,Generate: What type of organism is E. coli?,E. coli is actually a probiotic organism.,probiotic
E-coli,0,Generate: What grows and crowds out disease-causing bacteria?,E. coli grows and crowds out disease-causing bacteria.,E. coli
E-coli,0,Generate: What does E. coli make?,"E. coli can also make vitamin K, which humans need to be healthy.",vitamin K
E-coli,0,Generate: What are the toxin-producing forms of E. coli called?,The toxin-producing forms of the E. coli bacteria are called Shiga toxin-producing E. coli (STEC).,Shiga toxin-producing E. coli
E-coli,0,Generate: What type of bacteria produces severe diarrhea and kidney damage?,One type of the E. coli bacteria produces severe diarrhea and kidney damage.,E. coli
E-coli,1,Generate: Who can become infected with E. Coli bacteria?,"The elderly and the very young are the most prone to complications, but anyone may become infected with E. coli bacteria.",E. coli bacteria
E-coli,1,Generate: Where can E. coli be found in?,E. coli can be found many different places.,E. coli
E-coli,1,Generate: What can be infected during animal slaughtering?,"Since E. coli lives in the intestines of animals, beef or venison can be infected during slaughtering.",beef or venison
E-coli,1,Generate: What can be transferred to a healthy person if the meat is rare or improperly cooked?,"If the meat is rare or improperly cooked, E. coli can be transferred to a healthy person.",E. coli
E-coli,0,Generate: What type of contamination can occur if fresh veggies are not properly cleaned or handled?,"If fresh veggies are not properly cleaned or handled, E. coli contamination can occur.",E. coli
E-coli,0,Generate: What could lead to E. coli contamination?,"In addition to food contamination, E. coli contamination could occur from improper hand washing after using the toilet or diapering.",improper hand washing
E-coli,0,Generate: What type of disease can be caused by contaminated drinking water?,Contaminated drinking or swimming water can also cause sickness from E. coli.,E. coli
E-coli,0,Generate: How long after a person has been infected with E. coli can symptoms occur?,"According to the National Institute of Allergy and Infectious Diseases, once a person has been infected with E. coli, symptoms may occur 2 to 5 days after infection.",2 to 5 days
E-coli,0,Generate: What can a person infected with E. coli have?,A person infected with E. coli may have mild diarrhea or even no symptoms at all.,mild diarrhea
E-coli,0,Generate: What are the symptoms of E. coli?,"The initial symptoms of E. coli infection are diarrhea or stomach cramps, possibly followed by blood in the stool.",diarrhea or stomach cramps
E-coli,1,Generate: Does E. Coli cause fever?,A low fever is sometimes present with E. coli infection.,E. coli
E-coli,1,Generate: What should we do when we are infected with E. coli??,A person infected with E. coli should always see a doctor and the doctor may order special laboratory tests to diagnose whether or not the person is infected by E. coli.,a doctor
E-coli,0,Generate: What is the most common test for E. coli?,"A blood test to check for toxins, and a culture to grow the organism, are the two most common tests for E. coli.",A blood test
E-coli,1,Generate: What is growing a culture?,"Growing a culture is that microbes are allowed to reproduce in closed, controlled conditions.","when microbes are allowed to reproduce in closed, controlled conditions"
E-coli,0,Generate: What are not used to treat E. coli?,The symptoms of E. coli typically go away on their own and it is advised that antibiotics and diarrhea medicines are not used.,antibiotics and diarrhea medicines
E-coli,0,Generate: What can the use of antibiotics with E. coli lead to?,"The use of antibiotics with E. coli infection may increase the chance of severe complications, which can lead to kidney failure.",kidney failure
Microbe-Careers,0,Generate: What do we need to recognize to understand the health of humans and the development of life on earth?,"To understand the health of humans and the development of life on earth, we must recognize the vital importance of microbes.",microbes
Microbe-Careers,0,"Generate: In the medical field, scientists study disease-causing agents?","In the medical field, scientists study disease-causing agents, in an attempt to find methods for prevention and treatment of disease.",in an attempt to find methods for prevention and treatment of disease
Microbe-Careers,0,Generate: What type of research has improved public health?,Improvements have been made in public health based upon the results of state-of-the-art biomedical research.,state-of-the-art biomedical research
Microbe-Careers,0,Generate: What does biomedical research study explain in plants and animals?,Findings of biomedical research studies are used to explain how microbes cause infectious diseases in both plants and animals.,how microbes cause infectious diseases
Microbe-Careers,0,Generate: What techniques do scientists use in humans to analyze findings from biomedical research studies?,"Scientists use various techniques and strategies, including computer modeling, cell culture, animal models, and clinical trials in humans in an attempt to analyze the data of findings from biomedical research studies.","computer modeling, cell culture, animal models, and clinical trials"
Microbe-Careers,0,Generate: What can be used to reduce the risk of infections?,"Safe handling of food and hygiene, as well as various anti-microbial chemicals, may be used to reduce the risk of and the treatment of various infections.",Safe handling of food and hygiene
Microbe-Careers,0,Generate: What does quality control do in industrial microbiology?,"Industrial microbiology involves quality control in preventing growth and contamination of products leading to food spoilage, and the production of pharmaceuticals.",preventing growth and contamination of products leading to food spoilage
Microbe-Careers,0,"Generate: What is the name of the field that has given us many advances and new careers in medicine, agriculture, genetics, and food science?","Understanding of the microbial world has led to the emerging field of biotechnology, which has given us many advances and new careers in medicine, agriculture, genetics, and food science.",biotechnology
Microbe-Careers,0,Generate: What has raised many ethical issues for an informed community to consider?,"Biotechnology, while it has benefited some states in many ways, has also raised many ethical issues for an informed community to consider.",Biotechnology
Microbe-Careers,0,Generate: What are some examples of careers in microbiology?,"Some examples of careers in microbiology include bacteriologists, food scientists, and molecular biologists.","bacteriologists, food scientists, and molecular biologists"
Microbe-Careers,1,Generate: What do bacteriologists examine?,Bacteriologists examine diverse types of bacteria that cause stomach and intestinal infections as well as wound infections.,bacteria
Microbe-Careers,0,Generate: What do bacteriologists develop?,Bacteriologists have an indirect impact on patients by developing vaccines and ways to make disease-causing microbes less harmful.,vaccines
Microbe-Careers,0,Generate: What do Food Scientists use to analyze food content for nutritional value?,"Food Scientists use chemistry, microbiology, engineering, and other sciences to analyze food content for nutritional value, discover new food sources, and research ways to make processed foods safe, healthy, and delicious.","chemistry, microbiology, engineering, and other sciences"
Microbe-Careers,0,"Generate: Who develops new or improved ways of preserving, processing, packaging, storing, and delivering foods?","Food Scientists develop new or improved ways of preserving, processing, packaging, storing, and delivering foods.",Food Scientists
Microbe-Careers,0,"Generate: Who test new products for flavor, texture, color, nutritional content?","Food Scientists test new products for flavor, texture, color, nutritional content, and adherence to government and industry standards.",Food Scientists
Microbe-Careers,0,"Generate: Who checks finished products for safety, quality, and nutritional value?","Food Scientists check finished products for safety, quality, and nutritional value.",Food Scientists
Microbe-Careers,0,Generate: Who study how genes in cells cause biological characteristics and functions in organisms?,Molecular Biologists study how genes in cells cause biological characteristics and functions in organisms.,Molecular Biologists
Microbe-Careers,0,"Generate: Who study the genetic composition of plants, animals, humans, bacteria, and fungi?","Molecular Biologists study the detailed genetic make-up of plants, animals, humans, bacteria, and fungi.",Molecular Biologists
Microbe-Careers,0,Generate: Who study DNA for medical testing for disease-causing organisms?,Molecular Biologists study DNA for medical testing for disease-causing organisms and to test for inherited genetic disorders.,Molecular Biologists
Microbe-Careers,0,Generate: What does Molecular Biologists use to provide law enforcement with evidence to help solve crimes?,"Molecular Biologists manipulate genes to breed new crop plants or livestock, aid in the development of new medicines, and use DNA fingerprinting to provide law enforcement with evidence to help solve crimes.",DNA fingerprinting
Microbe-Careers,0,Generate: What are some of the careers in microbiology?,"Careers in microbiology include mycologists, environmental scientists, geneticists, and virologists.","mycologists, environmental scientists, geneticists, and virologists"
InfluenzaPoster,1,Generate: What is influenza?,Influenza is a viral infection.,viral
InfluenzaPoster,0,Generate: What are the symptoms of influenza?,"The symptoms of influenza are cough, fever, sore throat, and difficult breathing.","cough, fever, sore throat, and difficult breathing"
InfluenzaPoster,0,Generate: What is the way to treat or prevent influenza?,The way to treat or prevent influenza is with vaccination.,vaccination
Epidemic,0,Generate: What are some examples of pathogens?,"Some examples of pathogens are bacteria, parasites, viruses, and fungi.","bacteria, parasites, viruses, and fungi"
Epidemic,0,"Generate: When an infectious disease is much greater than expected, what is it called?","When an outbreak of an infectious disease is much greater than expected, it is called an epidemic.",an epidemic
Epidemic,0,Generate: What is the name of the epidemic that spreads around the world?,"When an epidemic spreads around the world, it is called a pandemic.",pandemic
Epidemic,1,Generate: What kinds of Infectious diseases have sparked epidemics?,Infectious diseases such as ebola and influenza have sparked epidemics.,ebola and influenza
Epidemic,0,"Generate: In the early 20th century, what type of pandemic was particularly devastating?",An influenza pandemic in the early 20th century was especially devastating.,influenza pandemic
Epidemic,1,Generate: How many did people die from a flu pandemic?,"According to the National Archives, more people died from the 1918 flu pandemic than the first World War.",1918
Epidemic,0,Generate: In what year did influenza infect 20% of the world?,Influenza infected 20% of the world’s population during the 1918 flu pandemic.,1918
Epidemic,0,Generate: How many years did the deaths attributed to the flu pandemic reduce life expectancy in the United States?,"In a single year, the deaths attributed to the flu pandemic actually reduced life expectancy in the United States by 12 years.",12 years
Parasites-and-Disease,0,Generate: What does a parasite live on?,"A parasite is an organism that lives on, or in, a second species.",a second species
Parasites-and-Disease,1,Generate: What is the second species which a parasite live on called?,"This second species is called the host, since it accommodates the parasite in, or on, its body.",the host
Parasites-and-Disease,1,Generate: Is the relationship between a parasite and a host specific?,The relationship between a parasite and a host usually works with specific host and not any other.,a parasite
Parasites-and-Disease,0,Generate: Parasites will use what?,Parasites will take advantage of hosts.,hosts
Parasites-and-Disease,0,Generate: What can a parasite take from the host?,A parasite may take food or shelter from the host.,food or shelter
Parasites-and-Disease,1,Generate: Who gains advantages between a parasite and a host?,"Between a parasite and a host, the parasite is often the smaller of the two and gains advantages from the host.",the host
Parasites-and-Disease,0,Generate: What is the relationship between a host and a host?,"In the relationship between a parasite and a host, the host ends up being harmed by the parasite.",a parasite
Parasites-and-Disease,0,Generate: What does a parasite require to survive?,A parasite requires a host to survive.,a host
Parasites-and-Disease,0,Generate: What are parasitic diseases often referred to as?,"For humans, parasitic diseases are often foodborne or waterborne.",foodborne or waterborne
Parasites-and-Disease,1,Generate: How can we prevent parasitic diseases?,"Parasitic diseases can be prevented by careful handling of food or water, such as the filtering and/or boiling water or cooking food thoroughly.",water
Parasites-and-Disease,0,Generate: What type of meat does parasitic tapeworms infect a person?,Parasitic tapeworms can infect a person if they eat rare infected meat.,rare infected meat
Parasites-and-Disease,0,Generate: What are some parasitic tapeworms contracted by eating?,"Some parasitic tapeworms are contracted by eating raw, infected fish.",infected fish
Parasites-and-Disease,1,Generate: What does the parasitic hookworm infection cause?,The parasitic hookworm infection causes the disease trichinosis and comes from infected pork.,pork
Parasites-and-Disease,0,Generate: How many people infect Ancyostoma and Necator?,"The parasitic hookworms Ancyostoma and Necator, which infect over 400 million people, enter through the feet of a person.",400 million
Parasites-and-Disease,1,Generate: How do we prevent parasitic hookworm infection?,Wearing shoes in likely infected areas is a preventative measure against parasitic hookworms.,a preventative measure against parasitic hookworms
Parasites-and-Disease,1,Generate: How can we reduce transmissions of parasites from pets?,Washing one's hands before handling food can reduce transmissions of parasites from pets.,pets
Parasites-and-Disease,1,Generate: What is Malaria?,Malaria is an infection caused by a member of the parasite family of Plasmodium.,Plasmodium
Parasites-and-Disease,0,Generate: What is Trypanosoma?,The disease commonly referred to as sleeping sickness is caused by a parasite carried by insects such as the tsetse fly called Trypanosoma.,tsetse fly
Parasites-and-Disease,1,Generate: How can we reduce the infection by insects?,Infection by insects can be reduced by using an insect repellent and sleeping in mosquito-netting protected by DEET.,mosquito-netting
Scientific-Method,0,Generate: What does a scientist use to solve a problem?,"When a scientist approaches a problem or wishes to discover new knowledge, they use a ""recipe"" for problem solving called the scientific method.",scientific method
Scientific-Method,0,Generate: What does the scientific method begin with?,The scientific method begins with a problem.,a problem
Scientific-Method,1,Generate: In the scientific method what must first be identified?,In the scientific method the problem must first be identified.,scientific
Scientific-Method,0,Generate: What is a possible solution for the problem?,"After gathering background information with the scientific method, a hypothesis--a possible solution for the problem--should be created.",hypothesis
Scientific-Method,0,Generate: How can a hypothesis be tested?,A hypothesis can be tested by performing experiments and collecting data about a problem.,performing experiments and collecting data about a problem
Scientific-Method,1,"Generate: After collecting observational data with the scientific method, what should we do?","After collecting observational data with the scientific method, the problem and/or hypothesis may be redefined, which leads to more experimentation.",the scientific method
Scientific-Method,1,"Generate: If the original data was satisfactory, what can we do with the data?","If the original data was satisfactory, then the data can be analyzed.",If the original data was satisfactory
Scientific-Method,0,Generate: What is the purpose of careful examination of the data?,"Analysis involves careful examination of the data in order to detect patterns, differences, or trends observed in the experiment.","to detect patterns, differences, or trends observed in the experiment"
Scientific-Method,1,Generate: Who do we share the conclusions from an analysis with?,The conclusions from an analysis are shared with other scientists and the public.,other scientists and the public
Centers-for-Disease-Control-and-Prevention,0,Generate: Where is the Centers for Disease Control and Prevention located?,"The Centers for Disease Control and Prevention, or CDC, is headquartered in Atlanta, GA.","Atlanta, GA"
Centers-for-Disease-Control-and-Prevention,0,Generate: What was the Centers for Disease Control and Prevention originally called?,The Centers for Disease Control and Prevention was originally called the Communicable Disease Center.,Communicable Disease Center
Centers-for-Disease-Control-and-Prevention,0,Generate: When was the Centers for Disease Control and Prevention organized?,"When the Centers for Disease Control and Prevention was organized in 1946, the original charge of the agency was to fight malaria.",1946
Centers-for-Disease-Control-and-Prevention,0,"Generate: What is the name of the government agency that leads the nation and the world in health promotion, prevention, and preparedness?","The Centers for Disease Control and Prevention is a government agency that leads the nation and the world in “health promotion, prevention, and preparedness.”",Centers for Disease Control and Prevention
Centers-for-Disease-Control-and-Prevention,0,Generate: Who monitors diseases across the world?,The Centers for Disease Control and Prevention monitors diseases across the nation and around the world.,The Centers for Disease Control and Prevention
Centers-for-Disease-Control-and-Prevention,0,Generate: Who works to develop strategies for disease prevention?,The Centers for Disease Control and Prevention works to develop strategies for disease prevention.,Centers for Disease Control and Prevention
Centers-for-Disease-Control-and-Prevention,0,Generate: Who develops and shares scientific knowledge with the public?,The Centers for Disease Control and Prevention develops and shares scientific knowledge with the public and it trains health professionals.,The Centers for Disease Control and Prevention
Centers-for-Disease-Control-and-Prevention,0,Generate: Who works to promote healthy behaviors and environments to create a safe public health system around the world?,The Centers for Disease Control and Prevention works to promote healthy behaviors and environments to create a safe public health system around the world.,The Centers for Disease Control and Prevention
Microbiology,0,Generate: What does microbiology study?,Microbiology is a category of science that studies one-celled organisms.,one-celled organisms
Microbiology,1,Generate: Can we see cells with the human eye?,We cannot see the cell with the human eye although cells can be viewed through microscopes.,microscopes
Microbiology,1,Generate: How small is a cell?,"To help you understand the small size of an individual cell, consider that the human body is made up of about 75 trillion cells.",75 trillion
Microbiology,0,Generate: What are the smallest structural units of an organism capable of functioning independently?,Cells are the smallest structural units of an organism capable of functioning independently.,Cells
Microbiology,1,Generate: Who was the one of the first scientists to view cells under his light microscope?,"In the year 1665, Robert Hooke was one of the first scientists to view cells under his light microscope. Hooke viewed the cells of a plant and recognized these as clusters of cellulae.",1665
Microbiology,0,Generate: What did Hooke recognize as clusters of?,"In the year 1665, Robert Hooke was one of the first scientists to view cells under his light microscope. Hooke viewed the cells of a plant and recognized these as clusters of cellulae.",cellulae
Microbiology,0,Generate: What is the Latin word for tiny storage rooms?,Cellulae is the Latin word for tiny storage rooms.,Cellulae
Microbiology,1,Generate: Who used light microscopes to see cells?,"About 175 years after cells were first viewed by Robert Hooke in 1665, botanists and zoologists used light microscopes to see differences between plant and animal cells.",175 years
Microbiology,1,Generate: Are there different types of cells?,There are several types of cell categories.,cell categories
Microbiology,0,Generate: What is an important part of the job of the microbiologist?,Sorting by how things are alike or different is an important part of the job of the microbiologist.,Sorting by how things are alike or different
Microbiology,0,Generate: What are the cell categories?,"Cell categories are all of the following: animal, plant, bacteria, fungi, and virus structures.","animal, plant, bacteria, fungi, and virus structures"
Microbiology,1,Generate: How can we describe cells?,We can describe cells by characteristics or attributes.,characteristics
Microbiology,0,Generate: What is the animal cell enclosed by?,The animal cell is enclosed by a membrane-bound nucleus. Within the membrane there is a nucleus that contains genetic material.,a membrane-bound nucleus
Microbiology,0,Generate: What does the animal cell contain in the membrane?,The animal cell is enclosed by a membrane-bound nucleus. Within the membrane there is a nucleus that contains genetic material.,a nucleus that contains genetic material
Microbiology,0,Generate: What can a whip-like structure help with?,Animal cells have small whip-like structures that can help with locomotion.,locomotion
Microbiology,0,Generate: What is enclosing the plant cell?,"The plant cell is more rigid than the animal cell, with a wall enclosing it.",a wall
Microbiology,0,Generate: Bacteria are a type of prokaryotic cell without what?,Bacteria are a type of prokaryotic cell without a nucleus.,a nucleus
Microbiology,0,Generate: What type of coat does the virus have?,The virus has a simple structure of genetic material surrounded by a protein coat.,protein coat
Microbiology,0,Generate: What type of organism does the virus live as parasite in?,"The virus is in the category of parasite and always lives as parasite in plant, animal, or other one-celled organisms.",one-celled
Microbiology,0,Generate: What are plant biologists known as?,Plant biologists are known as botanists.,botanists
Microbiology,0,Generate: What are animal biologists known as?,Animal biologists are known as zoologists.,zoologists
Mutagen,0,Generate: What is the genetic change in an organism caused by a physical or chemical agent called?,The genetic change in an organism caused by a physical or chemical agent is called a mutation.,a mutation
Mutagen,0,Generate: What is the physical or chemical agent that causes a mutation called?,The physical or chemical agent that causes a mutation is called a mutagen.,mutagen
Mutagen,0,Generate: What are not all mutations caused by?,Not all mutations are caused by mutagens.,mutagens
Mutagen,0,Generate: What causes a naturally occurring mutation?,A naturally occurring mutation may occur because of an error in DNA replication. This is called spontaneous mutation.,an error in DNA replication
Mutagen,0,Generate: What is a naturally occurring mutation called?,A naturally occurring mutation may occur because of an error in DNA replication. This is called spontaneous mutation.,spontaneous mutation
Mutagen,0,Generate: What can cause cancer?,Mutagens may cause cancer.,Mutagens
Mutagen,0,Generate: What is an agent that causes cancer called?,An agent that causes cancer is called a carcinogen.,a carcinogen
Mutagen,1,Generate: What is the relationship between a carcinogen and a mutagen,"A carcinogen may be a mutagen, and a mutagen may be a carcinogen.",mutagen
Mutagen,0,Generate: When did hippocrates first study physical changes in living things?,Hippocrates first studied physical changes in living things around 500 B.C.,500 B.C
Mutagen,0,Generate: What is the word that cancer is derived from?,"Hippocrates observed tumors and called them karkinos, which is the word that cancer is derived from.",karkinos
Mutagen,0,Generate: When were genetic changes first linked to mutagens?,Genetic changes were first linked to mutagens in 1927.,1927
Mutagen,0,Generate: What is electromagnetic radiation commonly called?,"Hermann Muller discovered that electromagnetic radiation, commonly called x-rays, could cause genetic mutations in fruit flies. The next generation of fruit flies had a clear change in the chromosomes from the parental chromosomes.",x-rays
Mutagen,1,Generate: What did the next generation of fruit flies have a clear change in when exposed to x-rays?,"Hermann Muller discovered that electromagnetic radiation, commonly called x-rays, could cause genetic mutations in fruit flies. The next generation of fruit flies had a clear change in the chromosomes from the parental chromosomes.",chromosomes
Mutagen,0,Generate: What was the cause of genetic mutations in fruit flies?,"After observing genetic mutations caused by x-rays in fruit flies, it was later shown that the use of x-rays also could change the genetic makeup of humans too.",x-rays
Mutagen,1,Generate: When did people know that chemicals cause mutations in living cells?,"It was not until the 1940s that chemicals, like x-rays, were shown to cause mutations in living cells.",x-rays
Mutagen,0,Generate: What were the first studies to investigate mutations in living cells caused by chemicals?,The first studies investigating mutations in living cells caused by chemicals were done on fruit flies.,fruit flies
Mutagen,0,Generate: Mutagens can be found as what?,"Mutagens may be found as physical, chemical, or biological agents.","physical, chemical, or biological agents"
Mutagen,0,Generate: What is an example of a physical mutagen?,"An example of a physical mutagen is radiation, such as x-rays or gamma radiation.",x-rays or gamma radiation
Mutagen,0,Generate: What chemical can create changes to DNA?,"Chemicals, such as benzene or arsenic, may create changes to DNA, as well as processes associated with DNA replication.",benzene or arsenic
Mutagen,0,Generate: What is the basic genetic code of a cell?,DNA is the basic genetic code of a cell.,DNA
Mutagen,0,Generate: What are the biological agents that can act as mutagens?,"Biological agents, which can act as mutagens, include viruses and bacteria.",viruses and bacteria
Mutagen,0,Generate: What can insert its DNA into a cell?,A virus can insert its DNA into a cell and cause problems for the cell.,A virus
Mutagen,1,Generate: How can some bacteria cause mutation?,Some bacteria may cause mutations by interfering with cellular processes.,mutations
Mutagen,1,Generate: How can we decrease the chances of being affected by mutagens?,"There are several steps that may be taken in order to decrease the chances of being affected by mutagens. By eating more fruits and vegetables, which contain antioxidants, you may be able to decrease the chances of being affected by mutagens. By limiting your exposure to physical mutagens such as ultraviolet radiation and tobacco smoke or polluted air, you may be able to decrease the chances of being affected by mutagens.",mutagens
Mutagen,0,Generate: What can you reduce the chances of being affected by eating more fruits and vegetables?,"By eating more fruits and vegetables, which contain antioxidants, you may be able to decrease the chances of being affected by mutagens.",mutagens
Mutagen,1,Generate: How can we decrease the chances of being affected by physical mutagens?,"By limiting your exposure to physical mutagens such as ultraviolet radiation and tobacco smoke or polluted air, you may be able to decrease the chances of being affected by mutagens.",limiting your exposure to physical mutagens
Mutagen,1,Generate: Can we get some benefits from mutagens?,There are positive uses for mutagens. Some mutagens are used to destroy cancer cells in therapies such as chemotherapy or radiation therapy.,mutagens
Mutagen,0,Generate: What are used to destroy cancer cells?,Some mutagens are used to destroy cancer cells in therapies such as chemotherapy or radiation therapy.,mutagens
